Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
27.00,regular,2.00,1146.00,12.00,23.00,0.99,0.98,1.00,0.98
27.00,irregular,2.00,269.00,1969.00,1975.00,0.12,0.12,8.31,0.12
27.00,semiregular,2.00,723.00,314.00,319.00,0.70,0.69,1.43,0.70
27.00,regular,3.00,1165.00,24.00,28.00,0.98,0.98,1.02,0.98
27.00,irregular,3.00,270.00,1912.00,1916.00,0.12,0.12,8.10,0.12
27.00,semiregular,3.00,724.00,306.00,311.00,0.70,0.70,1.42,0.70
28.00,regular,1.00,1094.00,17.00,23.00,0.98,0.98,1.02,0.98
28.00,irregular,1.00,291.00,2235.00,2241.00,0.12,0.11,8.64,0.12
28.00,semiregular,1.00,854.00,260.00,265.00,0.77,0.76,1.30,0.76
28.00,regular,2.00,1094.00,25.00,31.00,0.98,0.97,1.02,0.98
28.00,irregular,2.00,289.00,2225.00,2230.00,0.11,0.11,8.60,0.11
28.00,semiregular,2.00,856.00,247.00,251.00,0.78,0.77,1.29,0.77
28.00,regular,3.00,1059.00,14.00,59.00,0.99,0.95,0.98,0.97
28.00,irregular,3.00,289.00,2196.00,2197.00,0.12,0.12,8.48,0.12
28.00,semiregular,3.00,845.00,241.00,245.00,0.78,0.78,1.27,0.78
29.00,regular,1.00,1138.00,12.00,17.00,0.99,0.99,1.01,0.99
29.00,irregular,1.00,240.00,1348.00,1353.00,0.15,0.15,6.45,0.15
29.00,semiregular,1.00,866.00,502.00,507.00,0.63,0.63,1.58,0.63
29.00,regular,2.00,1129.00,14.00,20.00,0.99,0.98,1.01,0.99
29.00,irregular,2.00,247.00,1447.00,1452.00,0.15,0.15,6.88,0.15
29.00,semiregular,2.00,869.00,527.00,533.00,0.62,0.62,1.61,0.62
29.00,regular,3.00,1127.00,20.00,25.00,0.98,0.98,1.01,0.98
29.00,irregular,3.00,247.00,1355.00,1359.00,0.15,0.15,6.50,0.15
29.00,semiregular,3.00,868.00,526.00,532.00,0.62,0.62,1.61,0.62
30.00,regular,1.00,997.00,20.00,25.00,0.98,0.98,1.03,0.98
30.00,irregular,1.00,246.00,2460.00,2464.00,0.09,0.09,10.84,0.09
30.00,semiregular,1.00,799.00,242.00,248.00,0.77,0.76,1.29,0.77
30.00,regular,2.00,997.00,23.00,29.00,0.98,0.97,1.03,0.97
30.00,irregular,2.00,250.00,2564.00,2569.00,0.09,0.09,11.28,0.09
30.00,semiregular,2.00,803.00,248.00,253.00,0.76,0.76,1.30,0.76
30.00,regular,3.00,997.00,56.00,61.00,0.95,0.94,1.06,0.94
30.00,irregular,3.00,250.00,2481.00,2486.00,0.09,0.09,10.94,0.09
30.00,semiregular,3.00,807.00,258.00,263.00,0.76,0.75,1.32,0.76
,,,,,,,AVG,3.16,0.60
,,,,,,,AVG REG,1.05,0.95
,,,,,,,AVG 1,3.11,0.61
,,,,,,,AVG 2,3.20,0.59
,,,,,,,AVG 3,3.18,0.59
,,,,,,,avg reg 1,1.05,0.95
