Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA,,,,
29,irregular,3,228,563,566,0.288242731,0.287153652,3.2146,0.287697161,,,,
29,semiregular,3,738,174,177,0.809210526,0.806557377,1.0529,0.807881773,,,,
30,regular,1,757,1,475,0.998680739,0.614448052,0.7643,0.76080402,,,,
30,irregular,1,133,1003,1005,0.117077465,0.116871705,4.552,0.116974494,,,,
30,semiregular,1,574,81,387,0.876335878,0.597294485,0.8136,0.71039604,,,,
30,regular,2,753,1,484,0.99867374,0.6087308,0.7593,0.756403817,,,,
30,irregular,2,156,1222,1225,0.113207547,0.112961622,5.524,0.113084451,,,,
30,semiregular,2,603,64,346,0.904047976,0.63540569,0.8284,0.746287129,,,,
30,regular,3,996,93,95,0.914600551,0.912923923,1.0943,0.913761468,,,,
30,irregular,3,233,982,984,0.191769547,0.191454396,4.868,0.191611842,,,,
30,semiregular,3,783,137,139,0.851086957,0.849240781,1.1383,0.850162866,,,,
,,,,,,,Average Type,RCA,SDA,,,,
,,,,,,,Overall,1.676,0.583,,,,
,,,,,,,Regular Gait,0.821,0.781,,,,
,,,,,,,Irregular Gait,3.292,0.213,,,,
,,,,,,,SemiRegular Gait,0.914,0.755,,,,
,,,,,,,Wrist Sensor,1.541,0.519,,,,
,,,,,,,Hip Sensor,1.669,0.551,,,,
,,,,,,,Ankle Sensor,1.818,0.679,,,RCA,SDA
,,,,,,,regular and wrist,0.703573333,0.697504022,,100 Filters,0.703573333,0.73566
,,,,,,,,0.73566,0.726398053,,10 Filters,0.697504022,0.726398053
